country, Code,year,gdpus,gdpint,lifexp,healthpercent
Afghanistan,AFG,2003,198.7285436,922.8294492,57.25,8.81605343
Afghanistan,AFG,2004,219.1413528,916.3344748,57.875,8.78670722
Afghanistan,AFG,2005,250.2941299,1011.595524,58.5,8.06810435
Afghanistan,AFG,2006,272.563077,1065.619665,59.110001,7.43397155
Afghanistan,AFG,2007,369.835796,1210.479265,59.694,6.72831635
Afghanistan,AFG,2008,373.3611163,1247.066144,60.243,8.32809334
Afghanistan,AFG,2009,445.8932979,1482.098837,60.754002,9.41897064
Afghanistan,AFG,2010,553.3002894,1581.600836,61.226002,9.19772273
Afghanistan,AFG,2011,603.5370231,1660.739856,61.666,7.87199189
Afghanistan,AFG,2012,669.0090509,1873.153946,62.085999,8.51891268
Afghanistan,AFG,2013,631.7449706,1877.411953,62.493999,8.13486556
Albania,ALB,2003,1890.681557,5114.784779,74.82,6.26700723
Albania,ALB,2004,2416.588235,5524.921661,75.028,6.37953469
Albania,ALB,2005,2709.142931,5942.870083,75.217003,6.11631076
Albania,ALB,2006,3005.012903,6634.779222,75.417999,5.86129625
Albania,ALB,2007,3603.013685,7289.632366,75.655998,6.10393525
Albania,ALB,2008,4370.539647,8228.357428,75.943001,5.86941616
Albania,ALB,2009,4114.136545,8823.802984,76.280998,5.79133946
Albania,ALB,2010,4094.358832,9646.615727,76.652,5.33503501
Albania,ALB,2011,4437.178068,10207.70067,77.030998,5.71466526
Albania,ALB,2012,4247.614308,10526.24833,77.389,5.58917285
Albania,ALB,2013,4414.72314,10584.44692,77.702003,5.65513948
Algeria,DZA,2003,2094.335506,9620.872056,71.779999,3.60102674
Algeria,DZA,2004,2598.908023,10176.37006,72.280998,3.54406326
Algeria,DZA,2005,3100.122378,10971.51742,72.766998,3.23516801
Algeria,DZA,2006,3464.610079,11332.44961,73.224998,3.35511843
Algeria,DZA,2007,3935.183343,11843.36358,73.648003,3.82141191
Algeria,DZA,2008,4905.254866,12161.89916,74.031998,4.20191141
Algeria,DZA,2009,3868.83123,12241.81055,74.374001,5.35942501
Algeria,DZA,2010,4463.394675,12609.86941,74.676003,5.11715468
Algeria,DZA,2011,5432.250203,12989.95496,74.944,5.29292834
Algeria,DZA,2012,5564.82566,13404.00929,75.186996,6.14311272
Algeria,DZA,2013,5471.866766,13715.33174,75.417999,7.12438268
Angola,AGO,2003,779.4683056,2715.943441,50.507999,4.40528442
Angola,AGO,2004,1041.086844,2985.598585,51.675999,4.70732007
Angola,AGO,2005,1443.991929,3516.402658,52.833,4.10396002
Angola,AGO,2006,2062.415149,4222.663033,53.973999,4.54243749
Angola,AGO,2007,2878.837144,5128.361253,55.096001,3.38311163
Angola,AGO,2008,3868.578883,5743.110048,56.188999,3.84493395
Angola,AGO,2009,3347.84485,5718.694408,57.230999,4.37177378
Angola,AGO,2010,3529.053482,5775.864013,58.192001,3.39114609
Angola,AGO,2011,4299.012889,5911.254334,59.042,3.3795827
Angola,AGO,2012,4598.249988,6109.136612,59.77,3.30479422
Angola,AGO,2013,4804.616884,6400.673376,60.373001,4.26303169
Antigua and Barbuda,ATG,2003,9739.82556,15368.73406,74.157997,4.53434099
Antigua and Barbuda,ATG,2004,10352.8374,16526.52686,74.353996,4.20698542
Antigua and Barbuda,ATG,2005,11371.93895,17928.46708,74.543999,4.41010035
Antigua and Barbuda,ATG,2006,12724.39377,20603.61598,74.726997,4.34002161
Antigua and Barbuda,ATG,2007,14252.29452,22843.67155,74.904999,4.26972324
Antigua and Barbuda,ATG,2008,14703.31923,23026.45521,75.078003,4.69201433
Antigua and Barbuda,ATG,2009,13012.46692,20168.36639,75.247002,4.86206202
Antigua and Barbuda,ATG,2010,12126.87614,18760.63337,75.412003,5.6285144
Antigua and Barbuda,ATG,2011,11929.34991,18602.42536,75.573997,5.64852918
Antigua and Barbuda,ATG,2012,12565.44197,19457.04146,75.733002,5.38593825
Antigua and Barbuda,ATG,2013,12224.86416,19520.52693,75.891998,5.33222783
Argentina,ARG,2003,3330.437006,11217.57193,74.424004,8.21606274
Argentina,ARG,2004,4251.574348,12430.71372,74.602997,6.84056093
Argentina,ARG,2005,5076.883829,13817.71407,74.775002,6.84561938
Argentina,ARG,2006,5878.761027,15227.5125,74.941002,6.68187054
Argentina,ARG,2007,7193.61764,16865.54476,75.105003,6.49458405
Argentina,ARG,2008,8953.359275,17711.44179,75.267998,6.66371839
Argentina,ARG,2009,8161.306966,16618.12085,75.431,7.63475841
Argentina,ARG,2010,10276.2605,18333.5437,75.595001,6.55015616
Argentina,ARG,2011,12726.90836,19629.35185,75.761002,5.89274265
Argentina,ARG,2012,12969.70712,19579.00648,75.926003,5.01904817
Argentina,ARG,2013,12976.63642,20161.49683,76.088997,4.98687258
Armenia,ARM,2003,930.1661567,3531.968643,72.347,5.56388068
Armenia,ARM,2004,1191.96192,4031.947204,72.512001,5.50118169
Armenia,ARM,2005,1643.758397,4769.489004,72.625,5.25211644
Armenia,ARM,2006,2158.002909,5607.645869,72.714996,4.57775072
Armenia,ARM,2007,3138.808703,6605.216696,72.815002,4.30883082
Armenia,ARM,2008,4010.026997,7260.968756,72.945999,3.79932298
Armenia,ARM,2009,2993.832531,6323.578336,73.119003,4.54532341
Armenia,ARM,2010,3218.381655,6567.258582,73.331001,4.56226302
Armenia,ARM,2011,3526.978143,7022.103943,73.570999,3.71354097
Armenia,ARM,2012,3684.80481,7649.491409,73.814003,4.48215825
Armenia,ARM,2013,3843.591213,7997.387128,74.043999,4.55022679
Australia,AUS,2003,23465.38559,29723.68385,80.452003,8.31845119
Australia,AUS,2004,30472.37977,31345.22087,80.712997,8.57432053
Australia,AUS,2005,34016.71483,32591.80935,80.955002,8.45389263
Australia,AUS,2006,36118.28381,34356.76641,81.175003,8.49118995
Australia,AUS,2007,40991.98289,36596.00841,81.376999,8.5306305
Australia,AUS,2008,49664.68504,37506.90682,81.565002,8.78349607
Australia,AUS,2009,42742.99898,40282.31372,81.741997,9.04605596
Australia,AUS,2010,51874.08048,39191.03563,81.910004,9.01527191
Australia,AUS,2011,62245.10029,41782.28494,82.072998,9.19934655
Australia,AUS,2012,67677.63477,42616.14892,82.234001,9.35738514
Australia,AUS,2013,67792.30386,45668.68911,82.394997,9.36373848
Austria,AUT,2003,32102.93055,31987.22057,79.058998,10.48033992
Austria,AUT,2004,36693.40262,33649.41335,79.318001,10.55988254
Austria,AUT,2005,38242.04252,34866.84044,79.566002,10.53141508
Austria,AUT,2006,40430.99361,37455.51021,79.799004,10.35154773
Austria,AUT,2007,46586.65025,39150.87728,80.015999,10.40127692
Austria,AUT,2008,51386.37665,41058.63054,80.218002,10.60392998
Austria,AUT,2009,47654.18721,40704.40971,80.406998,11.19443731
Austria,AUT,2010,46657.0629,41906.72959,80.584,11.16524816
Austria,AUT,2011,51126.74139,44237.96032,80.752998,10.93557307
Austria,AUT,2012,48333.57273,46233.39624,80.917999,11.16821981
Austria,AUT,2013,50504.71532,47721.73728,81.083,11.1377909
Azerbaijan,AZE,2003,883.6439965,4945.907916,67.791,6.56328804
Azerbaijan,AZE,2004,1045.02163,5551.448842,68.249001,7.92454395
Azerbaijan,AZE,2005,1578.40239,7169.150431,68.75,7.8639081
Azerbaijan,AZE,2006,2473.085776,9830.162606,69.268997,6.16806759
Azerbaijan,AZE,2007,3851.437869,12477.38469,69.774002,5.09525293
Azerbaijan,AZE,2008,5574.603802,13799.78614,70.237999,4.37406647
Azerbaijan,AZE,2009,4950.294791,14900.50866,70.646004,5.85024048
Azerbaijan,AZE,2010,5842.805784,15627.60562,70.987,5.3336001
Azerbaijan,AZE,2011,7189.691229,15754.15236,71.260002,5.00932503
Azerbaijan,AZE,2012,7496.335728,16180.88715,71.477997,5.36689762
Azerbaijan,AZE,2013,7875.756953,17171.76137,71.655998,5.53755045
Bahamas,BHS,2003,22009.20043,21305.85807,73.264,5.6180021
Bahamas,BHS,2004,21996.40649,21620.72728,73.538002,6.02453452
Bahamas,BHS,2005,23405.45302,22602.9565,73.787003,5.95416502
Bahamas,BHS,2006,23719.10788,23415.71172,74.012001,6.93251788
Bahamas,BHS,2007,24301.24325,23923.70871,74.218002,7.07559268
Bahamas,BHS,2008,23652.33053,23392.28616,74.410004,7.3029743
Bahamas,BHS,2009,22037.10801,22191.1746,74.591003,7.4319201
Bahamas,BHS,2010,21921.55906,22431.92995,74.761002,7.43658423
Bahamas,BHS,2011,21523.97372,22674.72782,74.922997,7.63371738
Bahamas,BHS,2012,22575.59019,23453.63549,75.079002,7.43010401
Bahamas,BHS,2013,22590.39338,23506.78727,75.230003,7.04554853
Bahrain,BHR,2003,14221.99259,36696.27589,74.999001,3.73972896
Bahrain,BHR,2004,15846.47641,37851.82644,75.167,3.36600777
Bahrain,BHR,2005,17959.17854,38931.43524,75.325996,3.15804988
Bahrain,BHR,2006,19307.99549,39636.41148,75.477997,3.07675509
Bahrain,BHR,2007,20977.11053,40769.79102,75.625,3.07767478
Bahrain,BHR,2008,23067.56535,41047.16083,75.769997,3.16848651
Bahrain,BHR,2009,19356.67236,39888.46819,75.913002,3.786504
Bahrain,BHR,2010,20722.10389,40230.2311,76.056,3.63764959
Bahrain,BHR,2011,22810.10242,40696.15097,76.198997,3.40195337
Bahrain,BHR,2012,23649.36661,42208.65305,76.341003,4.36591164
Bahrain,BHR,2013,25010.18329,44657.79592,76.482002,4.68637938
Bangladesh,BGD,2003,432.7388972,1491.023592,66.964996,2.51003846
Bangladesh,BGD,2004,460.7579167,1586.182168,67.459999,2.61548602
Bangladesh,BGD,2005,484.1554071,1718.402873,67.936996,2.67725039
Bangladesh,BGD,2006,494.0501466,1864.194503,68.403,2.79623022
Bangladesh,BGD,2007,541.0651484,2024.232095,68.861,2.79895606
Bangladesh,BGD,2008,615.7775411,2163.554427,69.311996,2.84653391
Bangladesh,BGD,2009,681.1205368,2264.871499,69.759003,2.90958368
Bangladesh,BGD,2010,757.6717572,2393.315832,70.197998,3.06355993
Bangladesh,BGD,2011,835.7893401,2570.850145,70.625999,3.155874
Bangladesh,BGD,2012,856.342857,2756.443467,71.039001,3.08120807
Bangladesh,BGD,2013,951.8894535,2934.644352,71.431,2.88285726
Barbados,BRB,2003,12028.50447,12080.7245,73.847,5.81503159
Barbados,BRB,2004,12868.86309,12549.13585,74.003998,5.71254394
Barbados,BRB,2005,14223.86576,13421.38546,74.163002,5.37770788
Barbados,BRB,2006,15646.05591,14563.16062,74.323997,5.27479782
Barbados,BRB,2007,16462.48556,15153.29816,74.486,5.63907522
Barbados,BRB,2008,16570.32028,15446.34715,74.648003,6.01496305
Barbados,BRB,2009,16523.32388,14872.99151,74.810997,6.21396814
Barbados,BRB,2010,15905.91232,15035.18703,74.973,6.16899137
Barbados,BRB,2011,15534.15704,15404.78523,75.133003,6.66975378
Barbados,BRB,2012,15384.8749,15680.37656,75.292,7.42925203
Barbados,BRB,2013,15472.7814,15870.04741,75.447998,7.5687307
Belarus,BLR,2003,1819.525644,7616.458844,67.825996,6.58928033
Belarus,BLR,2004,2378.339207,8781.636314,68.066002,6.58678934
Belarus,BLR,2005,3126.071767,9984.192417,68.353996,6.88634578
Belarus,BLR,2006,3848.215966,11389.5515,68.706001,6.33679804
Belarus,BLR,2007,4735.484827,12756.63445,69.133003,6.43772703
Belarus,BLR,2008,6376.183153,14383.16685,69.628998,5.94918995
Belarus,BLR,2009,5176.172649,14553.79551,70.175003,6.08504113
Belarus,BLR,2010,6030.388707,15906.75608,70.738998,5.55420409
Belarus,BLR,2011,6519.710753,17166.69564,71.280998,4.92365904
Belarus,BLR,2012,6940.243915,17801.91843,71.768997,5.00822363
Belarus,BLR,2013,7978.825443,18271.75389,72.18,6.07206556
Belgium,BEL,2003,30743.95693,31054.64356,78.509003,9.30359795
Belgium,BEL,2004,35589.71295,32260.7729,78.739998,9.32102699
Belgium,BEL,2005,36967.28292,33332.35275,78.974998,9.24428757
Belgium,BEL,2006,38852.36103,35406.6228,79.210999,9.17112797
Belgium,BEL,2007,44403.83131,36858.19332,79.441002,9.25207442
Belgium,BEL,2008,48424.58927,38133.51223,79.662003,9.59842645
Belgium,BEL,2009,44880.56015,38047.67727,79.873001,10.39434014
Belgium,BEL,2010,44380.23741,40129.42633,80.071999,10.16564067
Belgium,BEL,2011,47702.77415,41248.6927,80.260002,10.42349563
Belgium,BEL,2012,44740.5717,42354.62056,80.442001,10.53975001
Belgium,BEL,2013,46510.38647,43452.24758,80.617996,10.57290301
Belize,BLZ,2003,3679.909523,6479.777791,68.619003,4.5348229
Belize,BLZ,2004,3831.538019,6791.957312,68.815002,4.39392269
Belize,BLZ,2005,3933.332215,7008.805746,69.023003,4.45271318
Belize,BLZ,2006,4187.37803,7361.074138,69.218002,4.40074319
Belize,BLZ,2007,4324.876427,7444.302526,69.385002,4.76058357
Belize,BLZ,2008,4470.220796,7636.841357,69.516998,5.09281839
Belize,BLZ,2009,4258.788611,7558.047851,69.611,5.80764478
Belize,BLZ,2010,4344.150177,7715.950318,69.676003,5.84584806
Belize,BLZ,2011,4516.24675,7855.698287,69.731003,5.60522062
Belize,BLZ,2012,4673.63848,8121.152942,69.797997,5.45306037
Belize,BLZ,2013,4688.538443,8179.049883,69.894997,5.79061965
Benin,BEN,2003,519.2922847,1456.364545,56.436001,4.63066141
Benin,BEN,2004,583.4093514,1516.430287,56.887001,4.56185468
Benin,BEN,2005,601.799977,1545.698265,57.355,4.73384847
Benin,BEN,2006,625.830092,1608.772887,57.817001,4.75046608
Benin,BEN,2007,706.0535419,1701.207073,58.255001,4.54583981
Benin,BEN,2008,820.1513498,1768.803598,58.653999,4.19564004
Benin,BEN,2009,793.45243,1773.053298,59.008999,4.46430984
Benin,BEN,2010,757.6959074,1781.987066,59.319,4.94824039
Benin,BEN,2011,825.9427854,1820.894693,59.595001,5.36875255
Benin,BEN,2012,837.9505001,1890.02902,59.855,4.85686602
Benin,BEN,2013,915.2674586,2002.051409,60.112999,4.59205377
Bhutan,BTN,2003,997.7417141,3524.926753,63.321999,4.9041054
Bhutan,BTN,2004,1097.457088,3734.48887,64.125999,4.40750213
Bhutan,BTN,2005,1247.061392,4026.341876,64.882004,5.28092275
Bhutan,BTN,2006,1335.456906,4331.461906,65.578003,5.26868823
Bhutan,BTN,2007,1741.142552,5131.410377,66.213997,5.87866065
Bhutan,BTN,2008,1795.181307,5372.132429,66.792,6.57982434
Bhutan,BTN,2009,1770.234497,5664.127805,67.315002,6.02784218
Bhutan,BTN,2010,2178.921383,6289.814364,67.790001,5.17176159
Bhutan,BTN,2011,2458.045976,6805.878456,68.226997,4.73145771
Bhutan,BTN,2012,2422.008016,7162.293474,68.639,3.70384573
Bhutan,BTN,2013,2350.882889,7317.337414,69.038002,3.82579516
Bolivia,BOL,2003,917.3643105,3753.050849,62.398998,5.30411075
Bolivia,BOL,2004,978.3346485,3946.708576,62.967999,5.21561551
Bolivia,BOL,2005,1046.427384,4180.318235,63.537998,5.66626332
Bolivia,BOL,2006,1233.594435,4438.62465,64.112999,5.19483534
Bolivia,BOL,2007,1389.634888,4684.94245,64.692001,4.96364424
Bolivia,BOL,2008,1736.935051,4986.880533,65.272003,5.00221817
Bolivia,BOL,2009,1776.866476,5108.873594,65.847,5.76173626
Bolivia,BOL,2010,1981.160705,5298.084512,66.407997,5.44301385
Bolivia,BOL,2011,2377.675918,5598.508445,66.945,5.49176327
Bolivia,BOL,2012,2645.227753,5899.641861,67.450996,5.5569911
Bolivia,BOL,2013,2947.938526,6303.06642,67.921997,5.9649866
Botswana,BWA,2003,4163.065906,9314.395714,49.787998,4.64786115
Botswana,BWA,2004,4896.583835,9695.193424,50.832001,5.55872796
Botswana,BWA,2005,5351.253732,10313.61119,52.165001,5.62371187
Botswana,BWA,2006,5374.554867,11346.04949,53.695,4.92953585
Botswana,BWA,2007,5714.047937,12413.28568,55.312,4.71306526
Botswana,BWA,2008,5623.379566,13226.60648,56.918999,5.55037104
Botswana,BWA,2009,5185.729845,12098.79299,58.450001,6.38817073
Botswana,BWA,2010,6346.156204,13064.46623,59.868,5.64265217
Botswana,BWA,2011,7645.214609,13889.27047,61.179001,5.24916763
Botswana,BWA,2012,7029.231453,14506.88523,62.424999,6.27218857
Botswana,BWA,2013,7007.625783,16111.10914,63.630001,5.83806784
Brazil,BRA,2003,3059.587582,9690.57941,71.290001,6.94296392
Brazil,BRA,2004,3623.047667,10401.94138,71.669998,7.06793519
Brazil,BRA,2005,4770.182746,10951.27478,72.040001,8.26702693
Brazil,BRA,2006,5860.145975,11604.86355,72.404999,8.35570723
Brazil,BRA,2007,7313.557962,12503.60928,72.767998,8.28058988
Brazil,BRA,2008,8787.610375,13262.80054,73.128998,8.23798966
Brazil,BRA,2009,8553.38047,13215.42568,73.487999,8.64909707
Brazil,BRA,2010,11224.15408,14244.97879,73.837997,8.26736921
Brazil,BRA,2011,13167.47289,14973.09847,74.174004,8.0901717
Brazil,BRA,2012,12291.46685,15396.62234,74.487999,8.26089862
Brazil,BRA,2013,12216.90446,15968.29208,74.777,8.48312451
Bulgaria,BGR,2003,2710.468024,8379.281786,72.234001,7.43475437
Bulgaria,BGR,2004,3381.507837,9177.314687,72.459999,7.08595529
Bulgaria,BGR,2005,3893.68998,10275.04993,72.669998,7.07978092
Bulgaria,BGR,2006,4513.13628,11377.85564,72.870003,6.6734753
Bulgaria,BGR,2007,5932.899677,12897.95386,73.071999,6.41034419
Bulgaria,BGR,2008,7296.122479,14395.69769,73.280998,6.61156197
Bulgaria,BGR,2009,6955.987733,14132.99163,73.498001,6.77819389
Bulgaria,BGR,2010,6843.263289,14962.98486,73.716003,7.24456053
Bulgaria,BGR,2011,7813.803499,15676.05322,73.929001,6.88297734
Bulgaria,BGR,2012,7378.025539,16208.23704,74.128998,7.10569778
Bulgaria,BGR,2013,7674.860559,16646.7165,74.310997,7.93021922
Burkina Faso,BFA,2003,332.3443051,966.0746729,51.956001,5.60978869
Burkina Faso,BFA,2004,371.3230865,1007.172672,52.602001,6.45328338
Burkina Faso,BFA,2005,406.9988071,1096.688786,53.310001,6.87238586
Burkina Faso,BFA,2006,422.6332374,1165.697092,54.063,6.57889926
Burkina Faso,BFA,2007,475.1100122,1226.881402,54.841,6.62938957
Burkina Faso,BFA,2008,569.7612784,1302.205391,55.618,6.76855996
Burkina Faso,BFA,2009,552.7455521,1310.685631,56.375999,7.40543097
Burkina Faso,BFA,2010,575.4464527,1395.960366,57.096001,7.17005016
Burkina Faso,BFA,2011,666.8402783,1472.716191,57.762001,5.16945672
Burkina Faso,BFA,2012,673.8227,1549.479611,58.376999,5.32688534
Burkina Faso,BFA,2013,699.0452847,1571.268335,58.942001,5.91240213
Burundi,BDI,2003,112.8493703,613.6300389,52.189999,5.24840706
Burundi,BDI,2004,127.4296648,639.8742272,52.437,7.10205754
Burundi,BDI,2005,150.5070434,644.7866027,52.735001,9.83776739
Burundi,BDI,2006,165.8794176,677.3826655,53.09,11.49013252
Burundi,BDI,2007,170.7999005,704.4398589,53.492001,10.02676743
Burundi,BDI,2008,196.2472628,729.4627833,53.925999,7.85946357
Burundi,BDI,2009,204.9446502,735.7012343,54.386002,6.96418727
Burundi,BDI,2010,231.1943256,748.3806576,54.861,8.82066864
Burundi,BDI,2011,260.4799073,771.5094237,55.338001,8.57801472
Burundi,BDI,2012,265.2856051,793.0801921,55.806999,8.20755375
Burundi,BDI,2013,282.7555252,818.2852133,56.258999,8.03161378
Cambodia,KHM,2003,362.4213785,1366.004185,61.241001,6.74284618
Cambodia,KHM,2004,408.6105184,1523.775476,62.186001,6.43218295
Cambodia,KHM,2005,474.2238766,1753.441983,63.088001,5.84121965
Cambodia,KHM,2006,539.8791529,1971.627326,63.926998,4.47935339
Cambodia,KHM,2007,631.675789,2197.829978,64.695,3.7458317
Cambodia,KHM,2008,745.7877873,2355.790305,65.390999,5.55434947
Cambodia,KHM,2009,738.2326684,2340.381721,66.010002,6.35516894
Cambodia,KHM,2010,785.6928841,2471.891474,66.555,5.95280478
Cambodia,KHM,2011,882.4901462,2658.709247,67.033997,5.64142819
Cambodia,KHM,2012,950.0244132,2858.71357,67.466003,6.23920837
Cambodia,KHM,2013,1028.419568,3069.58846,67.867996,5.93281822
Cameroon,CMR,2003,824.8689393,2201.26351,51.671001,4.97339975
Cameroon,CMR,2004,930.2011716,2283.938956,52.300999,4.73054345
Cameroon,CMR,2005,952.1872484,2347.659063,52.916,4.75114245
Cameroon,CMR,2006,1002.989164,2430.989688,53.493999,4.68549975
Cameroon,CMR,2007,1110.701186,2507.479227,54.033001,4.75670352
Cameroon,CMR,2008,1233.524316,2559.223662,54.535,5.17618655
Cameroon,CMR,2009,1203.195308,2557.390745,54.995998,5.06998858
Cameroon,CMR,2010,1182.869227,2601.228297,55.424,5.28483734
Cameroon,CMR,2011,1295.649726,2690.765055,55.832001,3.96167517
Cameroon,CMR,2012,1255.648189,2789.683679,56.241001,4.33911457
Cameroon,CMR,2013,1365.34419,2913.173239,56.665001,4.29309731
Canada,CAN,2003,28172.14883,32189.0616,79.791,9.54031491
Canada,CAN,2004,31979.87195,33754.86956,80.013,9.55593893
Canada,CAN,2005,36189.58838,36134.60224,80.232002,9.57259884
Canada,CAN,2006,40386.69948,38009.876,80.446999,9.75077613
Canada,CAN,2007,44544.5268,39441.96779,80.658997,9.834884
Canada,CAN,2008,46596.33599,40277.61931,80.870003,10.0314672
Canada,CAN,2009,40773.45436,38791.07469,81.079002,11.17309256
Canada,CAN,2010,47447.47602,40027.24021,81.283997,11.20113293
Canada,CAN,2011,52082.21076,41565.27122,81.482002,10.82129629
Canada,CAN,2012,52496.69487,42145.09786,81.674004,10.77921223
Canada,CAN,2013,52413.72116,44097.60642,81.858002,10.66516682
Cape Verde,CPV,2003,1768.921302,3412.642078,71.292999,4.99736722
Cape Verde,CPV,2004,1976.458506,3801.929908,71.584,5.06127652
Cape Verde,CPV,2005,2048.13459,4134.497584,71.760002,4.85837167
Cape Verde,CPV,2006,2304.289902,4542.140553,71.842003,5.11488034
Cape Verde,CPV,2007,3112.285712,5308.134174,71.869003,4.30181632
Cape Verde,CPV,2008,3638.905946,5710.16342,71.880997,3.96261016
Cape Verde,CPV,2009,3444.5566,5620.539317,71.899002,4.24249163
Cape Verde,CPV,2010,3312.825985,5710.344252,71.941002,4.8314955
Cape Verde,CPV,2011,3670.429453,5991.77849,72.018997,4.5981957
Cape Verde,CPV,2012,3408.482762,6097.221556,72.126999,4.60767994
Cape Verde,CPV,2013,3558.796314,6171.857986,72.259003,4.29340629
Central African Republic,CAF,2003,286.2508019,664.3150585,43.827,4.30920674
Central African Republic,CAF,2004,313.210598,710.410967,44.080002,4.10144818
Central African Republic,CAF,2005,327.1149461,726.8663666,44.466,4.29009912
Central African Republic,CAF,2006,347.6073678,771.1467414,44.966999,3.98872906
Central African Republic,CAF,2007,397.1480467,813.8053894,45.551998,4.04420573
Central African Republic,CAF,2008,456.8614334,833.2529641,46.189999,4.30491314
Central African Republic,CAF,2009,449.9601839,842.5222241,46.862,3.57683853
Central African Republic,CAF,2010,446.4434494,870.0440809,47.560001,3.89743425
Central African Republic,CAF,2011,494.3306779,911.6559469,48.284,3.73272849
Central African Republic,CAF,2012,486.410114,963.5640139,49.041,3.62284672
Central African Republic,CAF,2013,337.4849614,618.5146823,49.825001,3.82208893
Chad,TCD,2003,292.5914364,1033.583468,47.716,5.49054134
Chad,TCD,2004,454.6765879,1366.996011,47.848,5.71977487
Chad,TCD,2005,660.2421396,1596.835983,48.054001,3.91024833
Chad,TCD,2006,712.1847694,1600.201226,48.348999,3.32174296
Chad,TCD,2007,801.683884,1640.780387,48.729,3.34616501
Chad,TCD,2008,929.7702391,1668.577985,49.181999,2.9164692
Chad,TCD,2009,804.4559039,1695.96331,49.691002,3.30677754
Chad,TCD,2010,896.5697341,1886.251061,50.233002,2.94877337
Chad,TCD,2011,989.2363633,1863.845605,50.778,3.16873244
Chad,TCD,2012,973.4702574,1999.034948,51.299999,3.0003298
Chad,TCD,2013,986.0103177,2077.060248,51.778,3.41745392
Chile,CHL,2003,4787.699532,10771.24748,77.453003,7.33944363
Chile,CHL,2004,6210.828325,11777.13305,77.632004,6.93393245
Chile,CHL,2005,7615.30468,12774.73122,77.791,6.69119625
Chile,CHL,2006,9484.681227,15611.10821,77.933998,6.18107636
Chile,CHL,2007,10526.87746,16862.92407,78.066002,6.34524532
Chile,CHL,2008,10781.36608,16422.86633,78.193001,6.8683536
Chile,CHL,2009,10243.32824,16267.46193,78.32,7.39252832
Chile,CHL,2010,12860.17764,18356.77622,78.454002,6.96860594
Chile,CHL,2011,14705.69242,20437.70453,78.598999,7.00457914
Chile,CHL,2012,15431.90293,21620.28097,78.758003,7.23794642
Chile,CHL,2013,15941.39722,22578.72892,78.931,7.5312947
China,CHN,2003,1288.642924,3961.274167,73.257004,4.82123292
China,CHN,2004,1508.668462,4455.20533,73.641998,4.72284375
China,CHN,2005,1753.4178,5092.560189,73.987,4.65846996
China,CHN,2006,2099.229676,5883.719784,74.291,4.52241742
China,CHN,2007,2695.366223,6863.982229,74.561996,4.31833293
China,CHN,2008,3471.247547,7635.073139,74.807999,4.58905193
China,CHN,2009,3838.434292,8374.43285,75.031998,5.07535532
China,CHN,2010,4560.512487,9333.124882,75.236,4.88633979
China,CHN,2011,5633.796106,10384.36732,75.425003,5.02886408
China,CHN,2012,6337.882993,11351.06284,75.601997,5.26451547
China,CHN,2013,7077.770594,12367.96586,75.768997,5.38570406
Colombia,COL,2003,2246.257472,7241.331258,71.813004,5.92269295
Colombia,COL,2004,2740.249442,7732.319476,72.061996,5.37077635
Colombia,COL,2005,3386.0256,8248.355342,72.303001,5.8158366
Colombia,COL,2006,3709.078776,8957.341118,72.531998,6.1117047
Colombia,COL,2007,4674.21961,9710.917596,72.749001,6.25336641
Colombia,COL,2008,5433.72045,10132.26566,72.952003,6.61993597
Colombia,COL,2009,5148.422113,10260.22668,73.142998,7.01240715
Colombia,COL,2010,6250.655044,10680.00301,73.324997,6.75752454
Colombia,COL,2011,7227.73968,11496.47771,73.5,6.63578902
Colombia,COL,2012,7884.984429,12058.34376,73.672997,6.93347013
Colombia,COL,2013,8030.58603,12725.04373,73.847,6.8432
Comoros,COM,2003,544.5066526,1236.16601,59.737999,3.64985651
Comoros,COM,2004,616.4197236,1264.156135,59.903999,3.95907616
Comoros,COM,2005,621.9033702,1310.265382,60.125999,4.31649402
Comoros,COM,2006,648.3008717,1353.519441,60.407001,4.57135897
Comoros,COM,2007,720.7593013,1367.48884,60.734001,4.93045333
Comoros,COM,2008,795.9705019,1366.64755,61.094002,5.13058242
Comoros,COM,2009,778.5454199,1370.466884,61.474998,3.8159446
Comoros,COM,2010,769.1742883,1383.929694,61.862,5.82480352
Comoros,COM,2011,829.7586885,1414.611723,62.240002,6.09705013
Comoros,COM,2012,788.632653,1448.427686,62.596001,7.10723668
Comoros,COM,2013,834.3410949,1487.110507,62.923,6.50938357
Costa Rica,CRI,2003,4167.714107,8793.383147,77.867996,8.44923734
Costa Rica,CRI,2004,4425.507467,9289.503317,77.992996,7.79839004
Costa Rica,CRI,2005,4697.011135,9817.001194,78.113998,7.73973795
Costa Rica,CRI,2006,5245.187372,10697.46354,78.234001,7.8231858
Costa Rica,CRI,2007,6120.623418,11714.21471,78.355003,8.36985934
Costa Rica,CRI,2008,6911.136136,12329.93006,78.481003,9.00515369
Costa Rica,CRI,2009,6809.396224,12141.93498,78.612999,9.68658882
Costa Rica,CRI,2010,8199.414621,12737.02018,78.755997,9.65747228
Costa Rica,CRI,2011,9186.59639,13397.23054,78.911003,9.72939981
Costa Rica,CRI,2012,9985.36959,14133.68818,79.077003,9.55968402
Costa Rica,CRI,2013,10569.66631,14524.6715,79.253998,9.4665247
